"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"77","동물장묘업","02_03_05_P","4090000","409000003820180001","2018-04-18","","01","영업/정상","0000","정상","","","","","","0","","경기도 김포시 통진읍 귀전리 3-15","경기도 김포시 통진읍 애기봉로681번길 73-20, 2동 1층","10010","(주)마스꼬따 휴","2024-07-01 16:44:38","U","2024-07-03 02:40:00","","165905.426246007","469457.2746339","동물장묘업","","L00","0",
"78","동물장묘업","02_03_05_P","4090000","409000003820180002","2018-07-13","","01","영업/정상","0000","정상","","","","","","0","","경기도 김포시 하성면 양택리 161-1번지","경기도 김포시 하성면 하성로 647","10008","아이드림펫","2019-04-04 16:49:55","U","2019-04-06 02:40:00","","167118.161456354","469872.354665502","동물장묘업","","000","",
"79","동물장묘업","02_03_05_P","4830000","483000003820250001","2025-03-25","","01","영업/정상","0000","정상","","","","","061-337-1230","0","","전라남도 나주시 다도면 신동리 76 , 467-46","전라남도 나주시 다도면 다도로 857","58319","주식회사 별다만","2025-04-10 16:54:56","U","2025-04-12 02:40:00","","184148.269461059","159940.466855588","동물장묘업","","L00","0",
"80","동물장묘업","02_03_05_P","5080000","508000003820220001","2022-07-22","","01","영업/정상","0000","정상","","","","","","0","","경상북도 구미시 옥성면 농소리 950-1","경상북도 구미시 옥성면 이곡3길 69","39102","(주)한별소울펫","2024-07-04 11:49:31","U","2024-07-06 02:40:00","","314325.377039905","313606.257863926","동물장묘업","","000","0",
"81","동물장묘업","02_03_05_P","5350000","535000003820180002","2018-12-19","","01","영업/정상","0000","정상","","","","","1811-8044","0","","경상남도 김해시 한림면 안하리 264-12","경상남도 김해시 한림면 안하로 102","50852","포포즈 반려동물장례식장 김해점","2025-07-29 09:49:08","U","2025-07-31 02:40:00","","365879.501806837","202565.538218243","동물장묘업","","L00","0",
"82","동물장묘업","02_03_05_P","3400000","340000003820200001","2020-11-26","","01","영업/정상","0000","정상","","","","","0517274499","0","","부산광역시 기장군 장안읍 기룡리 240","부산광역시 기장군 장안읍 기룡길 11-33","46028","아이별","2020-11-26 17:55:40","I","2020-11-28 00:23:08","","404848.176575987","208184.566213687","동물장묘업","","000","",
"83","동물장묘업","02_03_05_P","3560000","356000003820200002","2020-12-18","","01","영업/정상","0000","정상","","","","","0317135002","0","","인천광역시 서구 대곡동 361-2","인천광역시 서구 설원로 79 (대곡동)","22600","(주)더포에버","2024-06-21 10:58:54","U","2024-06-23 02:40:00","","171201.092159873","458213.284379539","동물장묘업","","L00","0",
"84","동물장묘업","02_03_05_P","5120000","512000003820220001","2022-06-14","","01","영업/정상","0000","정상","","","","","","0","","경상북도 문경시 문경읍 진안리 350-4","경상북도 문경시 문경읍 문경대로 2430","36919","(주)젠틀펫","2024-07-24 13:57:48","U","2024-07-26 02:40:00","","296570.138224363","360655.576332738","동물장묘업","","L00","0",
"85","동물장묘업","02_03_05_P","3930000","393000003820220001","2022-06-22","","01","영업/정상","0000","정상","","","","","","0","","경기도 안산시 단원구 목내동 517-9 동신엔지니어링","경기도 안산시 단원구 엠티브이1로 159, 동신엔지니어링 (목내동)","15658","주식회사 펫콤","2024-08-08 16:35:53","U","2024-08-10 02:40:00","","179836.956103302","421505.250232757","동물장묘업","","L00","0",
"86","동물장묘업","02_03_05_P","3630000","363000003820250001","2025-01-03","","01","영업/정상","0000","정상","","","","","0627142979","0","","광주광역시 광산구 양동 684-4","광주광역시 광산구 체암로 1685-2 (양동)","62407","(주)하늘정원","2025-01-03 15:14:49","I","2025-01-05 00:11:21","","168606.826221001","183510.103879243","동물장묘업","","L00","0",
"87","동물장묘업","02_03_05_P","3930000","393000003820240002","2024-12-23","","01","영업/정상","0000","정상","","","","","1670-2818","0","","경기도 안산시 단원구 원시동 770-3 신안산비즈스타복합지식산업센터","경기도 안산시 단원구 산단로 232, 신안산비즈스타복합지식산업센터 7층 710호 (원시동)","15433","펫브릿지","2025-01-15 17:37:29","U","2025-01-17 02:40:00","","181355.692340689","423815.131111617","동물장묘업","","L00","0",
"88","동물장묘업","02_03_05_P","3130000","313000003820240001","2024-12-09","","01","영업/정상","0000","정상","","","","","02-322-1004","0","","서울특별시 마포구 합정동 370-39","서울특별시 마포구 성지5길 19, 3층 (합정동)","04083","㈜펫문","2025-06-17 16:10:03","U","2025-06-19 02:40:00","","192328.293658557","449335.276023874","동물장묘업","","000","0",
"89","동물장묘업","02_03_05_P","4261000","426000003820200001","2020-07-07","","02","휴업","0001","휴업","","2024-10-31","2026-10-31","","1566-4379","0","","강원특별자치도 횡성군 공근면 초원리 109-16","강원특별자치도 횡성군 공근면 경강로초원6길 58","25209","펫 메모리얼","2024-10-31 09:44:34","U","2024-11-02 02:40:00","","281990.211140203","446825.205893553","동물장묘업","","L00","0",
"90","동물장묘업","02_03_05_P","4080000","408000003820240001","2024-12-10","","02","휴업","0001","휴업","","2025-07-10","2026-05-05","","","0","","경기도 안성시 죽산면 당목리 704-1","경기도 안성시 죽산면 걸미로 391","17524","안성펫문화원","2025-07-21 18:06:01","U","2025-07-23 02:40:00","","238025.140787483","392758.238219879","동물장묘업","","000","0",
"91","동물장묘업","02_03_05_P","4070000","407000003820130001","2013-02-22","","03","폐업","0002","폐업","2017-01-09","","","","031-637-8582","0","","경기도 이천시 마장면 장암리 525-1번지","경기도 이천시 마장면 이장로 329-2","17383","엘림펫","2017-01-10 16:50:16","I","2018-08-31 23:59:59","","234562.792371488","419797.301835013","동물장묘업","","000","",
"92","동물장묘업","02_03_05_P","3340000","334000003820160001","2014-10-30","","03","폐업","0002","폐업","2017-07-19","","","","","0","","부산광역시 사하구 괴정동 1063-57번지","부산광역시 사하구 승학로233번길 87 (괴정동)","49321","(주)피케이프","2017-07-19 10:40:52","I","2018-08-31 23:59:59","","381332.392893298","180325.868785672","동물장묘업","","L00","",
"93","동물장묘업","02_03_05_P","4060000","406000003820190001","2019-04-01","","04","취소/말소/만료/정지/중지","0004","말소","","","","","1899-7822","0","","경기도 파주시 광탄면 기산리 521 오류골","경기도 파주시 광탄면 기산로186번길 9-46, 오류골","10953","꿈애","2020-08-06 18:01:06","U","2020-08-08 02:40:00","","192765.22781053","474554.617017937","동물장묘업","","000","",
"94","동물장묘업","02_03_05_P","4850000","485000003820190001","2019-08-16","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","전라남도 담양군 봉산면 기곡리 274-1","전라남도 담양군 봉산면 죽향대로 729-1","57371","우양펫타운","2020-12-16 17:37:35","U","2020-12-18 02:40:00","","197426.180152345","197183.135950689","동물장묘업","","000","",
"95","동물장묘업","02_03_05_P","5080000","508000003820180001","2022-07-22","","04","취소/말소/만료/정지/중지","0004","말소","","","","","1588-9749","0","","경상북도 구미시 옥성면 농소리 산 75-3","경상북도 구미시 옥성면 이곡3길 69","39102","(주)더소울펫","2022-07-22 14:18:56","U","2022-07-24 02:40:00","","314321.882034812","313583.261661319","동물장묘업","","L00","0",
"96","동물장묘업","02_03_05_P","3980000","398000003820160001","2016-12-13","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","경기도 구리시 토평동 711-1번지","경기도 구리시 장자호수길 76-141 (토평동)","11961","구리 에이지펫","2016-12-16 10:57:49","I","2018-08-31 23:59:59","","212560.19086135","453223.79773689","동물장묘업","","L00","",
"97","동물장묘업","02_03_05_P","5530000","553000003820190002","2019-06-25","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","경기도 화성시 서신면 사곳리 5-18","경기도 화성시 서신면 안벼슬길102번길 165","18556","(주)우리반려동물문화원","2024-01-31 19:00:44","U","2024-02-02 02:40:00","","176967.596223325","405910.328952567","동물장묘업","","L00","0",
"98","동물장묘업","02_03_05_P","4090000","409000003820170002","2017-12-20","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","경기도 김포시 통진읍 귀전리 3-15번지","경기도 김포시 통진읍 애기봉로681번길 73-20","10010","마스꼬다 휴 주식회사","2019-08-07 17:02:31","U","2019-08-09 02:40:00","","165905.426246007","469457.2746339","동물장묘업","","L00","",
